row ID,row m/z,row retention time,0_AR_Blk_C18_Pos.mzML Peak area,1_AR_Arnica_C18_Pos.mzML Peak area,2_AR_Cinchona_C18_Pos.mzML Peak area,3_AR_Ginkgo_C18_Pos.mzML Peak area,4_AR_Panax_C18_Pos.mzML Peak area,5_AR_Salvia_C18_Pos.mzML Peak area
42,353.2682886621030,10.4583338,0.0,59812666.17679650,235710.34535085100,133661908.09811500,423154.8381468790,556888.8361399180
43,505.2080138435110,2.2253964,0.0,37114852.63729440,0.0,790888.4544158660,0.0,0.0
44,369.1673618727130,6.7759332,0.0,63547339.11228500,97582.12678515220,0.0,0.0,13823032.626199400
45,287.0549008992950,4.620524275,0.0,57331130.33616280,375913.9947695880,1207504.796146070,0.0,4145950.9439974500
46,465.1022723871870,2.3662465800000000,0.0,41133016.86394290,127190.21686014800,29500485.519532500,13889.526648855500,4220766.0767703900
47,357.1669586416670,6.332107025000000,0.0,64604205.66742210,81915.48493096900,4156.065915791140,0.0,1009574.905797960
48,345.1690052888400,7.055340083333330,2287.613538703060,58980921.21192470,36777.99003687840,11364.968166829000,5022.779770722740,83122277.01966720
49,335.1843716528630,10.44559575,0.0,62408967.22724430,148347.99311050700,8042.9075632029400,0.0,407041.8281320290
50,593.2759211490180,14.533419200000000,0.0,71034760.48045810,6528313.512291070,50342716.83963870,325314.869068361,18367199.783711800
51,196.09993391744600,0.211480502,0.0,31854286.26552440,24060.867029880500,3027328.8551500600,17305279.90647760,2315683.1192783700
52,277.21654583669200,9.381412933333330,4091.243485526720,74182580.37411870,3551943.121157760,41272249.15408750,4520954.807048680,23858469.24430740
53,279.6469134916050,10.5151514,0.0,48192642.301754,2059722.5121014300,7152815.021601630,1256383.0984331200,31860.129051560900
54,279.23177205758800,10.187002,37320.61691872570,46632176.39551380,9776399.093215920,6548736.895927050,23426326.88602230,8291472.642546580
55,584.2757429261870,4.9045715000000000,0.0,37776600.97335490,0.0,0.0,16356.725495290800,0.0
56,279.2317442926160,10.256480166666700,26745.3810674559,52315917.88960430,14114218.999744200,5470896.426382970,35444453.57916030,10910261.802253600
57,449.17702731479900,2.1932810500000000,0.0,36962582.36348200,18505.016803663700,0.0,0.0,0.0
58,367.1504013196360,7.04758494,2542.8124380528300,52813370.29269680,53600.704399491000,0.0,5750.022248249900,28157.14895156290
59,311.08832402831600,2.194818,0.0,47061108.00754750,29231.584593562700,6917.856462738150,0.0,0.0
60,505.20834623324800,2.6727714,0.0,33732855.80138210,0.0,2749476.856904010,0.0,0.0
61,609.2712045863370,14.12324,0.0,60872018.63624140,2201026.0171368700,55143493.65758900,88291.66446392610,13248788.719971200
62,310.12803894923800,0.45856292,0.0,41544624.26934190,8785.28454013126,688921.3675323190,5444047.776653560,376948.07490793800
63,479.0812010788740,2.3410543000000000,0.0,34983728.50466260,0.0,0.0,0.0,518752.3545133650
64,371.18232362930700,7.239122966666670,0.0,44500951.881874100,236476.5131636540,0.0,0.0,14096.585865820200
65,248.1125772575760,0.20114808400000000,0.0,23550482.17438080,466056.61594220600,3884007.815285610,16081801.51652400,532160.3063799660
66,249.0367054319640,0.188367334,0.0,9736437.146220820,15441798.603687000,1932761.1276529700,297678.07711421300,3055961.8620316500
67,392.2433763900100,6.775742233333330,0.0,42501180.12854110,20019.62759404440,0.0,0.0,22182110.16299750
68,244.09984124362500,0.42567858,0.0,25724927.70091390,11811.553279029500,445913.4193511380,18185009.562125600,350090.66710774300
69,321.1699134143620,8.095242500000000,0.0,40576509.84229410,17661.486502758100,4250.144998916240,0.0,61546.17934250350
70,335.1847860101450,6.31189128,0.0,39197061.33366900,43364.39698042680,15786.788194989400,5822.337117700260,608482.770982324
71,371.1821254120540,7.3466729000000000,0.0,45602640.03871800,69727.69499585470,0.0,0.0,14096.585865820200
72,365.104917190608,0.18579193,0.0,10966934.88230420,10729882.517101800,53425317.7322477,59165234.25388140,21107133.38989990
73,247.13296456295800,6.822541900000000,9882.975094743380,36441012.21662780,91781.65027203500,8831.091520546690,0.0,199585.6150269250
74,352.2120228392500,6.315837325,0.0,34805783.91305490,5854.935383833070,5165.604851879920,0.0,194632.96681089900
75,444.22117625154100,2.22210375,0.0,24765305.609941900,28975.64178470520,0.0,0.0,0.0
76,364.2121920629280,6.7386800000000000,0.0,35914647.52956310,0.0,4669.2487329491600,0.0,47886069.27184720
77,537.236475242936,2.7645629200000000,0.0,24444328.32550610,19081.492249628800,38468.681832088400,136781.98635794600,35909.81556052160
78,349.20044876500900,7.236262720000000,0.0,33698994.514257,18015.244972373600,24576.90138473470,5987.671295449200,371035.001523082
79,277.21622777194600,9.4658606,4091.243485526720,36326468.83521180,4050642.989290800,26069949.410086200,1739237.7668185700,26855923.12152410
80,349.12555663493900,3.262123475,0.0,24227973.46179600,0.0,22795.738191105500,69345.98871608200,6672434.75178198
81,522.3555268154690,11.4693814,0.0,42537159.36300540,2867806.769200320,59534489.08098080,1300470.1747422700,10070601.834633200
82,369.16604051666300,7.523327233333330,0.0,33790655.96442970,6304.004066109220,0.0,0.0,37368.26745574200
83,495.11339758413200,2.5273640000000000,0.0,23378512.87073460,10826.240128476500,8297437.247956030,0.0,9815.1233676563
84,278.6390691639770,9.72746806,0.0,23621335.95879360,270482.3366069370,7120599.968433230,12452.357738528400,115958.19464911900
85,260.09498278834800,0.248147748,0.0,18135733.344658600,26531.71933912500,755508.9759448380,21758121.27158910,308762.58562191300
86,247.13259833716900,2.19154145,2986.5856166835500,18288162.321753200,0.0,7862.214286189480,0.0,6366.760129687550
87,357.16709236594900,10.4500435,0.0,36534902.49976300,13207.882415507800,0.0,0.0,0.0
88,715.3470509882320,6.771166566666670,0.0,29573286.46017480,0.0,607882.9368945710,0.0,21501489.72496240
89,380.24287244207400,6.3446782000000000,0.0,30672046.368744600,0.0,0.0,0.0,835096.1274060230
90,317.0652205897010,4.82247805,0.0,26371064.19624120,621735.180612195,699618.8345708320,0.0,1052078.6703719600
91,409.1939703129510,5.7393706,0.0,23761595.16700290,6164.102516765540,0.0,0.0,0.0
92,247.13269972058400,6.28912108,3444.3151119783900,29806085.63479340,68849.94414362390,136744.3809425720,0.0,9964.443762949980
93,522.3553893523520,11.465036,0.0,19223998.7501882,3099597.4180328400,60524512.3861229,1612281.6645247900,10347406.818054200
94,350.0955634558930,2.1877368000000000,0.0,26656468.632583600,0.0,0.0,0.0,0.0
95,205.0969991169620,0.6850642440000000,0.0,18976821.517394100,93648.47225577180,2527845.632974940,53764711.03044030,1082331.8163353900
96,425.37763144047300,13.41703775,0.0,32821691.372361100,56828.07295740310,0.0,354316.79680236800,1297925.179560230
97,295.22651645137900,10.4738495,108167.6128987200,31746567.641518800,22127924.87148220,6481342.5886889000,9027950.245605000,19513354.7527631
